DATE,FILT,RUN,JD,T_MAG,T_MAG_STD
Oct 05 2023,g',run1,2460223.6205,14.65764981761812,0.013884998241294421
Oct 05 2023,g',run2,2460223.691,14.667227933405208,0.030353103423997316
Oct 05 2023,r',run1,2460223.636,13.761146754292891,0.07951656124228625
Oct 05 2023,r',run2,2460223.7079999996,13.761282897328776,0.024084372680236728
Oct 05 2023,i',run1,2460223.6055,13.251835872016379,0.00809751357600192
Oct 05 2023,i',run2,2460223.674,13.259436642299432,0.012426733756820598
Oct 08 2023,g',run1,2460226.61,14.656509338805918,0.07022520380940137
Oct 08 2023,g',run2,2460226.66,14.199708709234756,0.05842427279974306
Oct 08 2023,g',run3,2460226.708,14.040360884325972,0.2212435500483981
Oct 08 2023,r',run1,2460226.625,13.731007940704554,0.016200238397849013
Oct 08 2023,r',run2,2460226.6755,13.579912417626952,0.025916186195906556
Oct 08 2023,r',run3,2460226.7235000003,12.682368649569328,0.10058282943850894
Oct 08 2023,i',run1,2460226.594,13.098899586656396,0.010928235765445852
Oct 08 2023,i',run2,2460226.6425,13.097290370654449,0.009926435892743845
Oct 08 2023,i',run3,2460226.691,13.17765428342986,0.2451771576895653
Oct 13 2023,g',run1,2460231.627,13.82251696844774,0.11428247116504472
Oct 13 2023,g',run2,2460231.6815,14.472232172745844,0.07368848268035884
Oct 13 2023,g',run3,2460231.7105,14.726155103388923,0.030957755782085546
Oct 13 2023,r',run1,2460231.597,13.113553342104792,0.04666584017496568
Oct 13 2023,r',run2,2460231.647,13.171566180022586,0.020704615167971358
Oct 13 2023,r',run3,2460231.6955,13.892778403146037,0.147146055163153
Oct 13 2023,i',run1,2460231.6119999997,12.585827752012563,0.015819981701646186
Oct 13 2023,i',run2,2460231.6665000003,12.58835372215474,0.07916537306812517
Oct 13 2023,i',run3,2460231.7025,13.776999983112736,0.15739476897825563
